#分类,位置,商品编号或物品名,数量(默认1),价格(默认1),价格类型（0金币,1元宝,2,绑定元宝,3绑定金币,4通用元宝,5通用金币）,,"绑定(0不绑定,1绑定,2使用绑定)"
1,57,102016,1,0,0,0,0,,,,,,
1,58,102017,1,0,0,0,0,,,,,,
1,59,102018,1,0,0,0,0,,,,,,
1,60,102019,1,0,0,0,0,,,,,,
1,61,102020,1,0,0,0,0,,,,,,
1,62,102021,1,0,0,0,0,,,,,,



2,0,70018,1,0,0,0,0,,,,,,
2,1,70019,1,0,0,0,0,,,,,,
2,2,70020,1,0,0,0,0,,,,,,
2,3,72024,1,0,0,0,0,,,,,,
2,4,72025,1,0,0,0,0,,,,,,
2,5,72026,1,0,0,0,0,,,,,,
2,6,72027,1,0,0,0,0,,,,,,
2,7,72028,1,0,0,0,0,,,,,,
2,8,72029,1,0,0,0,0,,,,,,
2,9,72030,1,0,0,0,0,,,,,,
2,10,72031,1,0,0,0,0,,,,,,
2,11,72032,1,0,0,0,0,,,,,,
2,12,72033,1,0,0,0,0,,,,,,
2,13,72034,1,0,0,0,0,,,,,,
2,14,72035,1,0,0,0,0,,,,,,
2,15,72036,1,0,0,0,0,,,,,,
2,16,72037,1,0,0,0,0,,,,,,
2,17,72038,1,0,0,0,0,,,,,,
2,18,72039,1,0,0,0,0,,,,,,
2,19,72040,1,0,0,0,0,,,,,,
2,20,72041,1,0,0,0,0,,,,,,
2,21,60014,1,0,0,0,0,,,,,,
2,22,60015,1,0,0,0,0,,,,,,
2,23,60016,1,0,0,0,0,,,,,,
2,24,62020,1,0,0,0,0,,,,,,
2,25,62021,1,0,0,0,0,,,,,,
2,26,62022,1,0,0,0,0,,,,,,
2,27,62023,1,0,0,0,0,,,,,,
2,28,62024,1,0,0,0,0,,,,,,
2,29,62025,1,0,0,0,0,,,,,,
2,30,62026,1,0,0,0,0,,,,,,
2,31,62027,1,0,0,0,0,,,,,,
2,32,62028,1,0,0,0,0,,,,,,
2,33,62029,1,0,0,0,0,,,,,,
2,34,62030,1,0,0,0,0,,,,,,
2,35,62031,1,0,0,0,0,,,,,,
2,36,62032,1,0,0,0,0,,,,,,
2,37,62033,1,0,0,0,0,,,,,,
2,38,62034,1,0,0,0,0,,,,,,
2,39,62035,1,0,0,0,0,,,,,,
2,40,62036,1,0,0,0,0,,,,,,
2,41,62037,1,0,0,0,0,,,,,,
2,42,50020,1,0,0,0,0,,,,,,
2,43,50021,1,0,0,0,0,,,,,,
2,44,50022,1,0,0,0,0,,,,,,
2,45,52026,1,0,0,0,0,,,,,,
2,46,52027,1,0,0,0,0,,,,,,
2,47,52028,1,0,0,0,0,,,,,,
2,48,52029,1,0,0,0,0,,,,,,
2,49,52030,1,0,0,0,0,,,,,,
2,50,52031,1,0,0,0,0,,,,,,
2,51,52032,1,0,0,0,0,,,,,,
2,52,52033,1,0,0,0,0,,,,,,
2,53,52034,1,0,0,0,0,,,,,,
2,54,52035,1,0,0,0,0,,,,,,
2,55,52036,1,0,0,0,0,,,,,,
2,56,52037,1,0,0,0,0,,,,,,
2,57,52038,1,0,0,0,0,,,,,,
2,58,52039,1,0,0,0,0,,,,,,
2,59,52040,1,0,0,0,0,,,,,,
2,60,52041,1,0,0,0,0,,,,,,
2,61,52042,1,0,0,0,0,,,,,,
2,62,52043,1,0,0,0,0,,,,,,



10,0,30001,1,0,3,0,1,,,,,,
10,1,35001,1,0,3,0,1,,,,,,
10,2,30002,1,0,3,0,1,,,,,,
10,3,35002,1,0,3,0,1,,,,,,
10,4,30004,1,0,3,0,1,,,,,,
10,5,35004,1,0,3,0,1,,,,,,
10,6,30005,1,0,3,0,1,,,,,,
10,7,35005,1,0,3,0,1,,,,,,
10,8,30006,1,0,3,0,1,,,,,,
10,9,35006,1,0,3,0,1,,,,,,
10,10,40001,1,0,3,0,1,,,,,,
10,11,40002,1,0,3,0,1,,,,,,
10,12,40003,1,0,3,0,1,,,,,,
10,13,40004,1,0,3,0,1,,,,,,
10,14,40005,1,0,3,0,1,,,,,,
10,15,40006,1,0,3,0,1,,,,,,
10,16,40007,1,0,3,0,1,,,,,,
10,17,70001,1,0,3,0,1,,,,,,
10,18,70002,1,0,3,0,1,,,,,,
10,19,70003,1,0,3,0,1,,,,,,
10,20,70004,1,0,3,0,1,,,,,,
10,21,70008,1,0,3,0,1,,,,,,
10,22,70009,1,0,3,0,1,,,,,,
10,23,70010,1,0,3,0,1,,,,,,
10,24,70012,1,0,3,0,1,,,,,,
10,25,70013,1,0,3,0,1,,,,,,
10,26,70014,1,0,3,0,1,,,,,,
10,27,70015,1,0,3,0,1,,,,,,
10,28,70016,1,0,3,0,1,,,,,,
10,29,70017,1,0,3,0,1,,,,,,
10,30,60001,1,0,3,0,1,,,,,,
10,31,60002,1,0,3,0,1,,,,,,
10,32,60003,1,0,3,0,1,,,,,,
10,33,60004,1,0,3,0,1,,,,,,
10,34,60005,1,0,3,0,1,,,,,,
10,35,60006,1,0,3,0,1,,,,,,
10,36,60007,1,0,3,0,1,,,,,,
10,37,60008,1,0,3,0,1,,,,,,
10,38,60009,1,0,3,0,1,,,,,,
10,39,60010,1,0,3,0,1,,,,,,
10,40,60011,1,0,3,0,1,,,,,,
10,41,60012,1,0,3,0,1,,,,,,
10,42,60013,1,0,3,0,1,,,,,,
10,43,50001,1,0,3,0,1,,,,,,
10,44,50002,1,0,3,0,1,,,,,,
10,45,50003,1,0,3,0,1,,,,,,
10,46,50004,1,0,3,0,1,,,,,,
10,47,50005,1,0,3,0,1,,,,,,
10,48,50006,1,0,3,0,1,,,,,,
10,49,50007,1,0,3,0,1,,,,,,
10,50,50008,1,0,3,0,1,,,,,,
10,51,50009,1,0,3,0,1,,,,,,
10,52,50010,1,0,3,0,1,,,,,,
10,53,50011,1,0,3,0,1,,,,,,
10,54,50012,1,0,3,0,1,,,,,,
10,55,50013,1,0,3,0,1,,,,,,
10,56,50014,1,0,3,0,1,,,,,,
10,57,50015,1,0,3,0,1,,,,,,
10,58,50016,1,0,3,0,1,,,,,,
10,59,50017,1,0,3,0,1,,,,,,
10,60,50018,1,0,3,0,1,,,,,,
10,61,50019,1,0,3,0,1,,,,,,

11,0,30007,1,0,3,0,1,,,,,,
11,1,35007,1,0,3,0,1,,,,,,
11,2,30008,1,0,3,0,1,,,,,,
11,3,35008,1,0,3,0,1,,,,,,
11,4,30009,1,0,3,0,1,,,,,,
11,5,35009,1,0,3,0,1,,,,,,
11,6,40008,1,0,3,0,1,,,,,,
11,7,40009,1,0,3,0,1,,,,,,
11,8,40010,1,0,3,0,1,,,,,,



12,0,70018,1,0,3,0,1,,,,,,
12,1,70019,1,0,3,0,1,,,,,,
12,2,70020,1,0,3,0,1,,,,,,
12,3,60014,1,0,3,0,1,,,,,,
12,4,60015,1,0,3,0,1,,,,,,
12,5,60016,1,0,3,0,1,,,,,,
12,6,50020,1,0,3,0,1,,,,,,
12,7,50021,1,0,3,0,1,,,,,,
12,8,50022,1,0,3,0,1,,,,,,
