#noautoenter  下线回城
#runplayer    允许穿人
#runmon       允许穿怪
#nodiedropitem 死亡不掉东西
#noprotectnewer 不保护新手
#masktype(0)  地图摭罩
#pkprohibit   禁止PK
#pkallow      允许PK(不加PK值)
#nochangeequiplist 禁止切换装备选项
#noseeothers   看不到其他玩家
#nodropitem 禁止扔东西
#addcofingroup  杀怪加疲软值
#em(number) 杀怪倍数
#execallow 地图打怪扣体力值
#expmul(number) 人物最大经验倍数
#nointeract     屏蔽玩家名字,禁止聊天,禁止查看角色信息
#nomount 禁止坐骑
#lockaction 禁止攻击和使用技能

#[地图编号 地图编号  名字  脚本触发  配置字段(支持上述的功能)

#地表地图
#[kuafu vkf 跨服战 map.kuafu runmon,runplayer
[ygfx	        vygfx	        远古废墟 map.ygfx  runmon,trigerenterleave,di(15002),di(10001),pkallow,noautoenter,autoalive,ds(411),norelivestand,nomount
[hcbz	        vhl	        皇城宝藏 map.hcbz  runmon,trigerenterleave,di(15002),di(10001),pkallow,noautoenter,autoalive,ds(411),norelivestand,nomount

[wwsd yxsd 武威殿 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,nomount,dartprohibit
[lysd yxsd 烈焰堂 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,nomount,dartprohibit
[wjsd yxsd 无极殿 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,nomount,dartprohibit




[sqbg yxsd 神器宝阁 null runmon,noautoenter,noprotectnewer,norelivestand,pkallow,nomount,di(15002),di(10001)


[tmda   tmd1	天魔殿入口[东] map.tmd  runmon,runplayer,di(15002),di(10001),pkallow,noautoenter,autoalive,trigerenterleave
[tmdb   tmd1	天魔殿入口[西] map.tmd  runmon,runplayer,di(15002),di(10001),pkallow,noautoenter,autoalive,trigerenterleave
[tmdc	tmd2	天魔宝殿 map.tmd  runmon,di(15002),di(10001),pkallow,noautoenter,trigerenterleave,nomount

[qlsd   qlsd	麒麟圣殿 null  runmon,pkallow,noautoenter,noprotectnewer,nomount,di(15002),di(10001),autoalive,norelivestand

[mijing40 guaji 练级场 map.mijing runplayer,runmon,noautoenter,autoalive,trigerenterleave,pkprohibit,nodiedropitem,noprotectnewer
[mijing50 guaji 练级场 map.mijing runplayer,runmon,noautoenter,autoalive,trigerenterleave,pkprohibit,nodiedropitem,noprotectnewer
[mijing60 guaji 练级场 map.mijing runplayer,runmon,noautoenter,autoalive,trigerenterleave,pkprohibit,nodiedropitem,noprotectnewer
[mijing70 guaji 练级场 map.mijing runplayer,runmon,noautoenter,autoalive,trigerenterleave,pkprohibit,nodiedropitem,noprotectnewer
[mijing80 guaji 练级场 map.mijing runplayer,runmon,noautoenter,autoalive,trigerenterleave,pkprohibit,nodiedropitem,noprotectnewer
[mijing90 guaji 练级场 map.mijing runplayer,runmon,noautoenter,autoalive,trigerenterleave,pkprohibit,nodiedropitem,noprotectnewer
[mijing100 guaji 练级场 map.mijing runplayer,runmon,noautoenter,autoalive,trigerenterleave,pkprohibit,nodiedropitem,noprotectnewer


[jsd1 jsd1 僵尸洞穴 null runmon,runplayer
[jsd2 jsd2 采矿区域 map.wakuang  runmon,runplayer,trigerenterleave
[swd swd 尸王殿 null runmon,runplayer,noprotectnewer,noautoenter,nomount,di(15002),di(10001)

[wmsm1 wmsm1 奴玛寺庙 null runmon,runplayer
[wmsm3 wmsm3 奴玛神殿 null runmon,runplayer,noprotectnewer,em(200)
[wmsm4 wmsm4 奴玛后宫 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,nomount


[wgd1 wgd1 邪恶洞穴 null runmon,runplayer
[wgd2 wgd2 邪恶洞穴北 null runmon,runplayer,noprotectnewer
[wgd3 wgd3 邪恶洞穴南 null runmon,runplayer,noprotectnewer
[wgd5 wgd5 邪恶之谷 null runmon,runplayer,noprotectnewer,em(200)
[wgd6 wgd6 邪龙谷 map.dtcs trigerenterleave,runmon,runplayer,noprotectnewer,nomount

[zhudong1 zhudong1 猪妖洞 null runmon,runplayer
[zhudong3 zhudong3 猪妖洞二层 null runmon,runplayer,noprotectnewer
[zhudong4 zhudong4 猪妖巢穴 null runmon,runplayer,noprotectnewer,em(200)
[zhudong5 zhudong5 猪妖魔窟 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,nomount

[zuma1 zuma1 猛犸寺庙 null runmon,runplayer
[zuma2 zuma2 猛犸寺庙二层 null runmon,runplayer,noprotectnewer
[zuma5 zuma5 猛犸神殿 null runmon,runplayer,noprotectnewer,em(200)
[zuma6 zuma6 猛犸后宫 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,nomount

[fengmo1 fengmo1 魔魂殿 null runmon,runplayer
[fengmo2 fengmo2 魔魂殿二层 null runmon,runplayer,noprotectnewer
[fengmo3 fengmo3 魔魂殿三层 null runmon,runplayer,noprotectnewer
[fengmo4 fengmo4 伏魔殿 null runmon,runplayer,noprotectnewer,em(200)

[niumo1 niumo1 蛮牛洞 null runmon,runplayer
[niumo2 niumo2 蛮牛洞二层 null runmon,runplayer,noprotectnewer
[niumo3 niumo3 蛮牛洞三层 null runmon,runplayer,noprotectnewer
[niumo4 niumo4 蛮牛大殿 null runmon,runplayer,noprotectnewer,em(200)
[niumo5 niumo5 蛮牛圣殿 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,nomount

[chiyue1 chiyue1 妖月峡谷 null runmon,runplayer
[chiyue2 chiyue2 妖月峡谷二层 null runmon,runplayer,noprotectnewer
[chiyue3 chiyue3 妖月峡谷三层 null runmon,runplayer,noprotectnewer
[chiyue4 chiyue4 妖月巢穴 null runmon,runplayer,noprotectnewer,em(200)


[jlsk1 qngm1 巨灵石窟 null runmon,noautoenter,noprotectnewer
[jlsk2 qngm2 巨灵窟二层 null runmon,noautoenter,noprotectnewer
[jlsk3 qngm3 巨灵窟三层 null runmon,noautoenter,noprotectnewer
[jlsk4 qngm4 巨灵魔窟 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,di(10001),di(15002),nomount,em(200)


[hund1 hund1 混沌之门 null runmon,noautoenter,noprotectnewer
[hund2 hund2 混沌二层 null runmon,noautoenter,noprotectnewer
[hund3 hund3 混沌三层 null runmon,noautoenter,noprotectnewer
[hund4 hund4 混沌魔域 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,di(10001),di(15002),nomount,em(200)


[bfxy1 bfxy1 冰封雪域 null runmon,noautoenter,noprotectnewer
[bfxy2 bfxy2 雪域二层 null runmon,noautoenter,noprotectnewer
[bfxy3 bfxy3 雪域三层 null runmon,noautoenter,noprotectnewer
[bfxy4 bfxy4 冰封魔域 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,di(10001),di(15002),nomount,em(200)


[dyry1 dyry1 地狱熔岩 null runmon,noautoenter,noprotectnewer
[dyry2 dyry2 熔岩二层 null runmon,noautoenter,noprotectnewer
[dyry3 dyry3 熔岩三层 null runmon,noautoenter,noprotectnewer
[dyry4 dyry4 烈炎魔窟 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,di(10001),di(15002),nomount,em(200)


[swxc1 swxc1 落日峡谷 null runmon,noautoenter,noprotectnewer
[swxc2 swxc2 峡谷二层 null runmon,noautoenter,noprotectnewer
[swxc3 swxc3 峡谷三层 null runmon,noautoenter,noprotectnewer
[swxc4 swxc4 落日刑场 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,di(10001),di(15002),nomount,em(200)


[zzzd1 zzzd1 神庙废墟 null runmon,noautoenter,noprotectnewer
[zzzd2 zzzd2 神庙二层 null runmon,noautoenter,noprotectnewer
[zzzd3 zzzd3 神庙三层 null runmon,noautoenter,noprotectnewer
[zzzd4 zzzd4 神庙祭坛 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,di(10001),di(15002),nomount,em(200)


[qshl1 qshl1 天威魔狱 null runmon,noautoenter,noprotectnewer
[qshl2 qshl2 天威狱二层 null runmon,noautoenter,noprotectnewer
[qshl3 qshl3 天威狱三层 null runmon,noautoenter,noprotectnewer
[qshl4 qshl4 天威圣殿 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,di(10001),di(15002),nomount,em(200)


[ygsy1 ygsy1 远古战场 null runmon,noautoenter,noprotectnewer
[ygsy2 ygsy2 战场二层 null runmon,noautoenter,noprotectnewer
[ygsy3 ygsy3 战场三层 null runmon,noautoenter,noprotectnewer
[ygsy4 ygsy4 远古深渊 map.dtcs trigerenterleave,runmon,noautoenter,noprotectnewer,di(10001),di(15002),nomount,em(200)


[zssd1	zssd1  一转神殿 null runmon,noautoenter,noprotectnewer,di(15002),di(10001)
[zssd2	zssd2  二转神殿 map.zssd trigerenterleave,runmon,noautoenter,noprotectnewer,di(15002),di(10001)
[zssd3	zssd3  三转神殿 map.zssd trigerenterleave,runmon,noautoenter,noprotectnewer,di(15002),di(10001)
[zssd4	zssd4  四转神殿 map.zssd trigerenterleave,runmon,noautoenter,noprotectnewer,di(15002),di(10001)


[lianyu1 jsd2 炼狱一层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu2 wmsm1 炼狱二层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu3 wmsm2 炼狱三层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu4 wgd3 炼狱四层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu5 wgd4 炼狱五层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu6 zhudong2 炼狱六层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu7 zhudong3 炼狱七层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu8 zuma2 炼狱八层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu9 zuma3 炼狱九层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu10 zuma4 炼狱十层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu11 fengmo2 炼狱十一层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu12 fengmo3 炼狱十二层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu13 niumo1 炼狱十三层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu14 niumo2 炼狱十四层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu15 niumo3 炼狱十五层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu16 chiyue1 炼狱十六层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu17 chiyue2 炼狱十七层 null runmon,runplayer,noprotectnewer,noautoenter
[lianyu18 chiyue3 炼狱十八层 null runmon,runplayer,noprotectnewer,noautoenter

[maya1 fengmo3 玛雅一层 map.maya runmon,runplayer,noprotectnewer,noautoenter,trigerenterleave
[maya2 fengmo2 玛雅二层 map.maya runmon,runplayer,noprotectnewer,noautoenter,trigerenterleave
[maya3 fengmo1 玛雅神殿 map.maya runmon,runplayer,noprotectnewer,noautoenter,trigerenterleave,nomount

[huiyuan huiyuan 会员神殿 null runmon,runplayer,noprotectnewer,noautoenter,trigerenterleave
[huiyuan2  hund1 会员神殿二层 null runmon,runplayer,noprotectnewer,noautoenter,trigerenterleave


#[ymsy1 ymsy 幽冥圣域 map.ymsy runmon,runplayer,noprotectnewer,noautoenter,trigerenterleave
#[ymsy2 ymsy 幽冥圣域(西) map.ymsy runmon,runplayer,noprotectnewer,noautoenter,trigerenterleave


[swjd1 emgc1 不归路 null runmon,noautoenter,noprotectnewer
[swjd2 emgc2 生死间 null runmon,noautoenter,noprotectnewer
[swjd3 emgc3 死亡禁地 null runmon,noautoenter,noprotectnewer,di(10001),di(15002)

[boss1 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss2 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss3 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss4 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss5 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss6 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss7 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss8 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss9 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss10 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss11 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss12 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss13 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss14 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss15 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss16 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss17 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss18 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss19 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss20 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss21 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss22 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss23 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss24 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss25 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss26 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss27 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss28 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss29 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss30 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss31 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss32 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss33 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss34 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss35 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss36 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss37 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss38 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss39 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss40 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss41 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss42 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss43 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss44 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss45 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss46 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss47 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss48 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss49 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave
[boss50 bosstz BOSS挑战 map.boss runmon,noautoenter,noprotectnewer,trigerenterleave

[rs1      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs2      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs3      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs4      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs5      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs6      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs7      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs8      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs9      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs10     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs11     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs12     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs13     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs14     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs15     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs16     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs17     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs18     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs19     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs20     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs21     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs22     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs23     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs24     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs25     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs26      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs27      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs28      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs29      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs30      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs31      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs32      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs33      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs34      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs35     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs36     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs37     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs38     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs39     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs40     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs41     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs42     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs43     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs44     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs45     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs46     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs47     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs48     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs49     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs50     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs51      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs52      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs53      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs54      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs55      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs56      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs57      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs58      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs59      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs60     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs61     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs62     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs63     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs64     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs65     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs66     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs67     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs68     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
