#物品编号    激活属性ID
43025	111
43026	103
43027	104
43028	105
49000   115
49001   116
49002   116
70024   100
70025   101
70026   102
70027   100
70028   101
70029   102
70030   109
70031   110
70032   111
70033   109
70034   110
70035   111
70036   103
70037   104
70038   105
70039   103
70040   104
70041   105
70042   106
70043   107
70044   108
70045   106
70046   107
70047   108
70048   106
70049   107
70050   108
70051   106
70052   107
70053   108
70054   131
70055   132
70056   133
70057   131
70058   132
70059   133
70060   131
70061   132
70062   133
71024   100
71025   101
71026   102
71030   109
71031   110
71032   111
71033   109
71034   110
71035   111
71036   103
71037   104
71038   105
71039   103
71040   104
71041   105
71042   106
71043   107
71044   108
71045   106
71046   107
71047   108
71048   106
71049   107
71050   108
71051   106
71052   107
71053   108
73024   100
73025   101
73026   102
73027   100
73028   101
73029   102
73030   109
73031   110
73032   111
73033   109
73034   110
73035   111
73036   103
73037   104
73038   105
79000   116
79001   116

79002   112
79003   113
79004   114
79005   125
79006   126
79007   127
79008   125
79009   126
79010   127
79011   128
79012   129
79013   130
79014   128
79015   129
79016   130

60020	100
60021	101
60022	102
60023	100
60024	101
60025	102
60026	109
60027	110
60028	111
60029	109
60030	110
60031	111
60032	103
60033	104
60034	105
60032	103
60033	104
60034	105
60035	103
60036	104
60037	105
60038	106
60039	107
60040	108
60041	106
60042	107
60043	108
60044	106
60045	107
60046	108
60047	106
60048	107
60049	108
60050	131
60051	132
60052	133
60053	131
60054	132
60055	133
60056	131
60057	132
60058	133
61020	100
61021	101
61022	102
61026	109
61027	110
61028	111
61029	109
61030	110
61031	111
61032	103
61033	104
61034	105
61032	103
61033	104
61034	105
61035	103
61036	104
61037	105
61038	106
61039	107
61040	108
61041	106
61042	107
61043	108
61044	106
61045	107
61046	108
61047	106
61048	107
61049	108
63020	100
63021	101
63022	102
63023	100
63024	101
63025	102
63026	109
63027	110
63028	111
63029	109
63030	110
63031	111
63032	103
63033	104
63034	105
69000   116
69001   116

69003   112
69004   113
69005   114
69006   125
69007   126
69008   127
69009   125
69010   126
69011   127
69012   128
69013   129
69014   130
69015   128
69016   129
69017   130

50026   100
50027   101
50028   102
50029   100
50030   101
50031   102
50032   109
50033   110
50034   111
50035   109
50036   110
50037   111
50038   103
50039   104
50040   105
50041   103
50042   104
50043   105
50044   106
50045   107
50046   108
50047   106
50048   107
50049   108
50050   106
50051   107
50052   108
50053   106
50054   107
50055   108
50056   131
50057   132
50058   133
50059   131
50060   132
50061   133
50062   131
50063   132
50064   133
51026   100
51027   101
51028   102
51032   109
51033   110
51034   111
51035   109
51036   110
51037   111
51038   103
51039   104
51040   105
51041   103
51042   104
51043   105
51044   106
51045   107
51046   108
51047   106
51048   107
51049   108
51050   106
51051   107
51052   108
51053   106
51054   107
51055   108
53026   100
53027   101
53028   102
53029   100
53030   101
53031   102
53032   109
53033   110
53034   111
53035   109
53036   110
53037   111
53038   103
53039   104
53040   105
59000   116
59001   116

59003   112
59004   113
59005   114
59006   125
59007   126
59008   127
59009   125
59010   126
59011   127
59012   128
59013   129
59014   130
59015   128
59016   129
59017   130


170000   121
170001   122
170002   123
170003   123
170004   124
170005   124
170006   124
170010   121
170011   122
170012   123
170013   123
170014   124
170015   124
170016   124
90004   100
90005   101
90006   102
90007   100
90008   101
90009   102
90010   109
90011   110
90012   111
90013   109
90014   110
90015   111
90016   103
90017   104
90018   105
90019   103
90020   104
90021   105
90022   106
90023   107
90024   108
90025   106
90026   107
90027   108
90028   106
90029   107
90030   108
90031   106
90032   107
90033   108
90034   131
90035   132
90036   133
90037   131
90038   132
90039   133
90040   131
90041   132
90042   133
91004   100
91005   101
91006   102
91010   109
91011   110
91012   111
91013   109
91014   110
91015   111
91016   103
91017   104
91018   105
91019   103
91020   104
91021   105
91022   106
91023   107
91024   108
91025   106
91026   107
91027   108
91028   106
91029   107
91030   108
91031   106
91032   107
91033   108
93004   100
93005   101
93006   102
93007   100
93008   101
93009   102
93010   109
93011   110
93012   111
93013   109
93014   110
93015   111
93016   103
93017   104
93018   105
99000   117
99001   112
99002   113
99003   114
99004   125
99005   126
99006   127
99007   125
99008   126
99009   127
99010   128
99011   129
99012   130
99013   128
99014   129
99015   130
100004   100
100005   101
100006   102
100007   100
100008   101
100009   102
100010   109
100011   110
100012   111
100013   109
100014   110
100015   111
100016   103
100017   104
100018   105
100019   103
100020   104
100021   105
100022   106
100023   107
100024   108
100025   106
100026   107
100027   108
100028   106
100029   107
100030   108
100031   106
100032   107
100033   108
100034   131
100035   132
100036   133
100037   131
100038   132
100039   133
100040   131
100041   132
100042   133
101004   100
101005   101
101006   102
101010   109
101011   110
101012   111
101013   109
101014   110
101015   111
101016   103
101017   104
101018   105
101019   103
101020   104
101021   105
101022   106
101023   107
101024   108
101025   106
101026   107
101027   108
101028   106
101029   107
101030   108
101031   106
101032   107
101033   108
103004   100
103005   101
103006   102
103007   100
103008   101
103009   102
103010   109
103011   110
103012   111
103013   109
103014   110
103015   111
103016   103
103017   104
103018   105
109000   115
109001   112
109002   113
109003   114
109004   125
109005   126
109006   127
109007   125
109008   126
109009   127
109010   128
109011   129
109012   130
109013   128
109014   129
109015   130
160001   121
160002   121
160003   121
160004   122
160005   122
160006   122
160007   123
160008   123
160009   123
160010   124
160011   124
160012   124
160013   124
180000   121
180001   121
180002   121
180003   122
180004   122
180005   122
180006   123
180007   123
180008   123
180009   124
180010   124
180011   124
190001   121
190002   121
190003   121
190004   122
190005   122
190006   122
190007   123
190008   123
190009   123
190010   124
190011   124
190012   124
190013   124
